Quadrimestre 1;;;;;;
ECTS;Identifiant;Nom;Heures;Obligatoire;Prérequis;Corequis
5;UE 1-1;INTÉGRATION DANS L'ENSEIGNEMENT SUPÉRIEUR;50;;;
2;MOA;Méthodologies et outils des apprentissages;26;;;
2;DE;Droit et éthique;12;;;
1;TPOE;Techniques de présentation orale et écrite;12;;;
6;UE 1-2;ARCHITECTURE ET TECHNOLOGIE DES ORDINATEURS;91;;;
3.6;SO;Structure de l'ordinateur;52;;;
2.4;TI;Technologie de l'informatique;39;;;
15;UE 1-3;PROGRAMMATION I;182;;;
5;MP;Méthodologie de la programmation;78;;;
5;JI;Java I;78;;;
5;MAPI;Mathématiques appliquées à la programmation I;26;;;
2;UE 1-4;ÉLÉMENTS DE COMPTABILITÉ GÉNÉRALE;39;;;
2;CG;Comptabilité générale;39;;;
2;UE 1-5;COMMUNICATING IN ENGLISH;26;;;
2;PEI;Professional English I;26;;;
;;;;;;
9;UE 2-1;ATELIER WEB;104;;;
3;PWI;Programmation Web I;39;;;
2;PWI;Projet Web;13;;;
1;IR;Introduction réseaux;13;;;
1;SI;Sécurité informatique;13;;;
2;TPPOEP;Techniques et pratiques de présentation orale et écrite de projets;26;;;
3;UE 2-2;ÉCONOMIE;39;;;
3;E;Économie;39;;;
9;UE 2-3;PROGRAMMATION II;91;;;
6;PNETI;Plateforme .net (C#,…) I;78;;;
3;PNET;Projet .net;13;;;
3;UE 2-4;STATISTIQUE I;26;;;
3;SAT;Statistique et application en tableur;26;;;
4;UE 2-5;MATHEMATIQUES APPLIQUEES A LA PROGRAMMATION;52;;;
4;MAPII;Mathématiques appliquées à la programmation II;52;;;
2;UE 2-6;COMMUNICATING IN ENGLISH;26;;;
2;PEII;Professional English II;26;;;
;;;;;;
5;UE 3-1 ;LE WEB ET SES TECHNOLOGIES;65;;UE 1-5;
2;EW;English for the Web;26;;;
3;PWII;Programmation Web II;39;;;
7;UE 3-2 ;PROGRAMMATION III;78;;UE 1-3;
3;JII;Java II;39;;;
4;PNETII;Plateforme .net (C#,…) II;39;;;
2;UE 3-3;MARKETING ET E-COMMERCE;26;;;
2;MEC;Marketing et e-commerce;26;;;
7;UE3-4 ;SYSTÈMES D'INFORMATION I;78;;;
3;AMUI;Analyse (Merise, UML) I;39;;;
4;BDI;Bases de données I;39;;;
2;UE 3-5 ;STRUCTURE DE DONNEES;26;;;
2;SDA;Structure de données avancée;26;;;
2;UE 3-6 ;SYSTÈMES D'EXPLOITATION I;39;;;
2;SEI;Systèmes d'exploitation I;39;;;
3;UE 3-7;SECURITE;39;;;
1;PS;Programmation sécurisée;26;;;
2;SRI;Sécurité (réseaux, internet);13;;;
2;UE 3-8;LOGICIEL COMPTABLE;15;;UE 1-4;
2;LC;Logiciel comptable;15;;;
;;;;;;
2;UE 4-1 ;BUSINESS ENGLISH;26;;;
2;BU;Business English;26;;;
6;UE 4-2 ;PROGRAMMATION IV;78;;;
3;JIII;Java III;39;;;
3;PNETIII;Plateforme .net (C#,…) III;39;;;
4;UE 4-3 ;DEVELOPPEMENT MOBILE I;52;;;
4;DMI;Développement mobile I;52;;;
6;UE 4-4;SYSTÈMES D'INFORMATION II;78;;;
3;AMUII;Analyse (Merise, UML) II;39;;;
3;BDII;Bases de données II;39;;;
3;UE 4-5;STATISTIQUE II;26;;UE 2-4;
3;SII;Statistique II;26;;;
3;UE 4-6;SYSTÈMES D'EXPLOITATION II;39;;;
3;SEII;Systèmes d'exploitation II;39;;;
6;UE 4-7;GESTION DE PROJETS I;60;;;
1;IGP;Introduction à la gestion de projets;13;;;
1;CPAP;Communication professionnelle appliquée aux projets;13;;;
1;PGC;Pratique de la gestion de conflits;8;;;
3;P;Projets;26;;;
;;;;;;
12;UE 5-1;GESTION DE PROJETS II;130;;UE 4-7;
2;EWITP;English for work & IT projects;39;;;
1;ITT;IT trends;13;;;
4;CP;Conduite de projets;26;;;
5;PPEO;Projets (Partenariat entreprises/organismes);52;;;
7;UE 5-2;PROGRAMMATION V;91;;UE 4-2;
3;PNETIV;Plateforme .net (C#,…) IV;39;;;
3;PWIII;Programmation Web III;26;;;
1;JIV;Java IV;26;;;
3;UE 5-3;ORGANISATION DE L'ENTREPRISE ET LOGICIEL ERP;39;;UE 1-4;
3;OEERP;Organisation de l'entreprise – ERP;39;;;
2;UE 5-4;DÉVELOPPEMENT MOBILE II;26;;UE 4-3;
2;DMII;Développement mobile II;26;;;
3;UE 5-5;RÉSEAUX ET BLOCKCHAIN;39;;;
2;R;Réseaux;26;;;
1;TB;Technologies Blockchain;13;;;
2;UE 5-6;SYSTEMES D'INFORMATION III;26;;UE 4-4;
2;BDIII;Bases de données III;26;;;
1;UE 5-7;PREPARATION A L'INSERTION PROFESSIONNELLE;26;;;
0.5;RSD;Recherche de stage : démarches;13;;;
0.5;CPARE;Communication professionnelle appliquée à la recherche d’emploi;13;;;
;;;;;;
30;UE 6-1; INTÉGRATION PROFESSIONNELLE ET TRAVAIL DE FIN D'ÉTUDES;541;;"UE 4-1
UE 4-2
UE 4-3
UE 4-4
UE 4-5
UE 4-6
UE 4-7";
25;SE15;Stage en entreprise (15 semaines);525;;;
1;MTFE;Méthodologie du Travail de fin d’Etudes;16;;;
4;TFE;Travail de fin d'études;;;;
